S,Year Makes: 134 Models: 902,Nickname,Ordinal,Year,Makes: 134,Models: 902,Special Access,DLC Pack,Special Reward/Gift,Direct Access,Car Value,Rarity,FE Boost,Car Type,Spec,Class,PI,S,H,A,L,B,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire,R Tire,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FH5 Debut,Forza Debut,Latest game,New to Forza,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2012 Land Rover Range Rover Supercharged,Range Rover '12,,2012,Land Rover,Range Rover Supercharged,,,,,,,,Modern SUV,Factory,C,435,6.5,3.8,6.9,8.1,4.0,,503,461,6195,12.32,49,5000,PDS,V,8,F,AWD,,255,,,650,none,eng,Europe,U.K.,,,5,R,4,,,5.121,12.638,12.767,172.2,148.8,385.6,0.94,0.82,7.517,11978,,23-Oct-12,FM7,FH1,,,FM7,,,,FM5,FH1,,,,,3,XBO,0
FALSE,2008 Land Rover Range Rover Supercharged,,,2008,Land Rover,Range Rover Supercharged,,,,,,,,SUV,Factory,C,357,,,,,,,400,420,5842,14.61,,,,,8,F,AWD,,,,,,,,Europe,U.K.,,,5,L,4,,,6.400,,,155.1,,,,,,11531,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,1997 Land Rover Defender 90,LR Defender,2135,1997,Land Rover,Defender 90,"Autoshow, WS",,,,"30,000",Common,,Pickups & 4x4s,Factory,D,366,3.8,3.2,2.7,1.8,2.5,8.2,182,232,3902,21.44,52,3950,NA,V,8,F,AWD,,265,no,Preset / Offroad,"510, 602, 805, 850",PDS,stock,Europe,U.K.,,,5,L,4,,"AWW, ?BRG, WW, DD",10.200,38.983,,106.0,172.8,410.3,0.78,0.78,28.783,12169,05-Nov-21,30-Sep-14,FH5,FH2,FH5,FH4,FM7,FH3,FM6,DLC,,,,,,,6,XBO,1
FALSE,1973 Land Rover Range Rover,Range Rover '73,2985,1973,Land Rover,Range Rover,"Autoshow, WS",,,,"50,000",Common,,Pickups & 4x4s,Factory,D,274,3.3,3.1,2.3,3.5,2.5,7.8,135,185,3800,28.15,50,3528,NA,V,8,F,AWD,,205,no,Preset / Offroad,"510, 602, 805, 850",PDS,stock,Europe,U.K.,,,3,R,4,,AWW,13.900,999.999,,94.9,167.2,na,0.74,0.73,986.099,12995,05-Nov-21,28-Sep-18,FH5,FH4,FH5,Barn,,,,,,,,,,,2,XBO,1
FALSE,1972 Land Rover Series III,LR Series III,2560,1972,Land Rover,Series III,"Autoshow, WS",,,,"20,000",Common,,Pickups & 4x4s,Factory,D,100,2.6,3.0,1.6,2.3,2.0,7.2,69,103,3097,44.88,57,2286,NA,Inline,4,F,AWD,,165,no,Offroad,"300, 805, 850","T, PDS",stock,Europe,U.K.,,,3,R,4,,"AWW, ?BRG, WW, RPC",25.179,999.999,,76.0,194.6,na,0.72,0.71,974.820,12670,05-Nov-21,07-Mar-17,FH5,FH3,FH5,FH4,FM7,DLC,,,,,,,,,4,XBO,1
FALSE,1972 Land Rover Series III Forza Edition,LR Series III FE,,1972,Land Rover,Series III Forza Edition,Exclusive,,,,"270,000",FE,Destruction,Pickups & 4x4s,Upgraded,D,126,6.6,6.3,7.6,8.8,5.6,,69,103,3097,44.88,57,2286,NA,Inline,4,F,AWD,,265,no,Preset FE Roof,"300, 550","T, PDS",stock,Europe,U.K.,,,3,R,4,,"BRG, WW",23.612,999.999,,76.9,218.6,na,0.80,0.79,976.387,12996,,28-Sep-18,FH4,FH4,,FE,,,,,,,,,,,1,XBO,0
FALSE,2019 LEGO Speed Champions Bugatti Chiron,LEGO Chiron,,2019,LEGO Speed Champions,Bugatti Chiron,DLC Exclusive,,,,"2,400,000",Legendary,,Hypercars,Tuner,S2,937,10.0,8.0,9.4,10.0,9.0,,1479,1180,4398,2.97,43,7993,TT,W,16,M,AWD,,?,no,none,none,none,,Europe,Denmark,,,2,C,4,,HR,2.400,4.900,,268.0,101.2,232.4,1.29,1.39,2.500,13130,,10-Feb-20,FH4,FH4,,cu,,,,,,,,,,,1,XBO,0
FALSE,2019 LEGO Speed Champions McLaren Senna,LEGO Senna,,2019,LEGO Speed Champions,McLaren Senna,DLC Exclusive,,,,"1,000,000",Legendary,,Hypercars,Tuner,S2,978,8.7,10.0,9.3,10.0,10.0,,789,590,2800,3.55,42,3994,TT,V,8,M,RWD,,?,no,none,789,none,,Europe,Denmark,,,2,C,4,,,2.253,4.686,,217.1,88.6,204.1,1.48,1.82,2.433,13097,,09-Jun-19,FH4,FH4,,DLC,,,,,,,,,,,1,XBO,0
FALSE,1987 LEGO Speed Champions Ferrari F40 Competizione,LEGO F40 C,,1987,LEGO Speed Champions,Ferrari F40 Competizione,DLC Exclusive,,,,"3,000,000",Legendary,,Extreme Track Toys,Tuner,S2,973,8.0,10.0,8.7,7.1,10.0,,690,526,2315,3.36,42,2396,TT,V,8,M,RWD,,?,no,none,none,none,,Europe,Denmark,,,2,C,4,,HR,3.700,8.100,,214.4,96.5,218.1,1.56,1.87,4.400,13096,,09-Jun-19,FH4,FH4,,DLC,,,,,,,,,,,1,XBO,0
FALSE,1974 LEGO Speed Champions Porsche 911 Turbo 3.0,LEGO Porsche 911,,1974,LEGO Speed Champions,Porsche 911 Turbo 3.0,DLC Exclusive,,,,"500,000",Legendary,,Extreme Track Toys,Tuner,S1,898,7.6,9.4,8.5,9.8,10.0,,491,434,2641,5.38,40,2994,T,Flat,6,F,AWD,,?,no,none,none,TT,,Europe,Denmark,,,2,C,4,,,5.700,13.000,,195.8,97.0,226.9,1.44,1.64,7.300,13106,,01-Aug-19,FH4,FH4,,DLC,,,,,,,,,,,1,XBO,0
FALSE,1967 LEGO Speed Champions Mini Cooper S Rally,LEGO Mini Cooper,,1967,LEGO Speed Champions,Mini Cooper S Rally,DLC Exclusive,,,,"500,000",Legendary,,Rally Monsters,Tuner,S1,831,6.4,8.1,8.8,10.0,8.3,,375,332,2800,7.47,50,1600,T,,,F,AWD,,?,no,none,none,none,,Europe,Denmark,,,2,C,4,,,10.500,65.119,,161.1,115.9,286.7,1.13,1.23,54.619,13098,,09-Jun-19,FH4,FH4,,DLC,,,,,,,,,,,1,XBO,0
FALSE,2021 Lexus LC 500,Lexus LC 500 '21,3520,2021,Lexus,LC 500,Seasonal,Series 19 cu,,,"250,000",Rare,,GT Cars,Factory,A,719,7.0,5.3,4.8,5.0,4.4,5.2,471,398,4266,9.06,54,4969,NA,V,8,F,RWD,,275,Both,WB,"805, 552, 700V, 750","TT, PDS",stock,N. America,U.S.,,,2,L,4,,,4.600,10.400,,190.8,132.0,324.8,0.93,0.97,5.800,13351,13-Apr-23,13-Apr-23,FH5,FH5,cu,,,,,,,,,,,,1,XBO,1
FALSE,2020 Lexus #14 VASSER SULLIVAN RC F GT3,Lexus #14 RC F,3457,2020,Lexus,#14 VASSER SULLIVAN RC F GT3,DLC Autoshow,FH5 Apex Allstars,Free w/DLC,,"295,000",Rare,,Extreme Track Toys,Race,S1,890,7.0,8.2,5.0,3.9,8.6,4.7,500,405,2921,5.84,50,5400,NA,V,8,F,RWD,310/40R18,310/40R18,Both,Adjustable,"805, 522, 700, 750, 850",none,stock,N. America,U.S.,,,2,L,4,,,3.800,7.781,,193.8,76.0,176.9,1.67,1.93,3.981,,23-Apr-24,23-Apr-24,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2020 Lexus RC F Track Edition,Lexus RC F '20,3546,2020,Lexus,RC F Track Edition,DLC Autoshow,FH5 Car Pass,Free w/DLC,,"100,000",Rare,,Track Toys,Factory,A,777,7.1,6.8,5.4,5.7,6.5,4.4,472,395,3781,8.01,55,4969,NA,V,8,F,RWD,,275,Both,Forza,"805, 552, 700V, 750","TT, PDS",stock,N. America,U.S.,,,2,L,4,,,3.986,9.483,,193.2,101.6,241.8,1.06,1.12,5.497,13302,30-Jun-22,30-Jun-22,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2015 Lexus RC F,Lexus RC F,2175,2015,Lexus,RC F,"Autoshow, WS",,,,"75,000",Rare,,Super Saloons,Factory,A,741,6.7,5.9,5.0,5.2,5.2,4.8,467,388,3957,8.47,55,4969,NA,V,8,F,RWD,,275,Both,Widebody kit,"475d, 510, 602, 552, 700","TT, PDS",stock,N. America,U.S.,,,2,L,4,,,4.386,9.984,,182.9,120.6,293.7,0.96,0.99,5.598,12206,05-Nov-21,03-Feb-15,FH5,FH2,FH5,cu,,FH3,FM6,DLC,,,,,,,5,XBO,1
FALSE,2014 Lexus IS 350 F Sport,Lexus IS350,,2014,Lexus,IS 350 F Sport,,,,,,,,Super Saloons,Factory,B,654,6.8,6.1,7.2,7.2,6.1,,306,277,3593,11.74,54,3456,NA,V,6,F,RWD,,,,,,,stock,N. America,U.S.,IS,,4,L,4,,,6.000,14.400,,172.9,136.4,337.9,1.06,1.02,8.400,12370,,15-Sep-15,FH3,FM6,,,,FH3,FM6,,,,,,,,2,XBO,0
FALSE,2013 Lexus GS350 F Sport,Lexus GS350,,2013,Lexus,GS350 F Sport,,,,,,,,Super Saloons,Factory,B,647,6.7,6.0,6.8,7.6,6.0,,306,277,3970,12.97,52,3456,NA,V,6,F,AWD,,,,,,,stock,N. America,U.S.,,,4,L,4,,,5.781,14.082,,177.1,120.2,306.9,1.07,1.04,8.301,11929,,07-Aug-12,FH3,FM4,,,,FH3,FM6,FH2,DLC,,DLC,,,,5,XBO,0
FALSE,2012 Lexus LFA Nurburgring Edition,,,2012,Lexus,LFA Nurburgring Edition,,,,,,,,Super,Factory,S,680,,,,,,,562,354,3183,5.66,,,,V,10,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,11998,,01-Jan-13,FH1,FH1,,,,,,,,DLC,,,,,1,360,0
FALSE,2011 Lexus CT200h,,,2011,Lexus,CT200h,,,,,,,,Sedan,Factory,F,195,,,,,,,134,169,3131,23.37,,,,,4,F,FWD,,,,,,,,N. America,U.S.,,,5,L,4,,,10.415,,,127.0,,,,,,11794,,14-Oct-11,FM4,FM4,,,,,,,,,FM4,,,,1,360,0
FALSE,2010 Lexus #1 Petronas Tom's SC430,,,2010,Lexus,#1 Petronas Tom's SC430,,,,,,,,SGT500,Livery,R2,857,,,,,,,475,357,2425,5.11,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,R,4,,,3.500,,,182.6,,,,,,11793,,14-Oct-11,FM4,FM4,,,,,,,,,FM4,,,,1,360,0
FALSE,2010 Lexus LFA,Lexus LFA,1260,2010,Lexus,LFA,"Autoshow, WS",,Accolade,,"500,000",Epic,,Modern Supercars,Factory,S1,810,7.4,6.6,5.8,6.0,7.0,4.5,552,354,3263,5.91,48,4805,NA,V,10,F,RWD,,305,Both,Forza,"700V, 750",TT,stock,N. America,U.S.,,,2,L,4,,,3.672,7.784,,203.2,101.6,241.3,1.03,1.09,4.112,11666,05-Nov-21,29-Oct-10,FH5,FM3,FH5,cu,,FH3,FM6,FH2,FM5,FH1,FM4,DLC,,,9,XBO,1
FALSE,2009 Lexus IS F,Lexus IS F,,2009,Lexus,IS F,Exclusive,,,,"250,000",Rare,,Super Saloons,Factory,A,737,7.5,6.1,6.1,7.7,6.1,,416,371,3780,9.09,54,4969,NA,V,8,F,RWD,,255,Both,Forza,"510, 500, 602, 552","TT, CS",stock,N. America,U.S.,IS,,4,L,4,,,4.400,10.215,,191.8,167.3,388.9,0.88,0.90,5.815,11535,,27-Oct-09,FH4,FM3,,cu,,FH3,FM6,,FM5,FH1,FM4,FM3,,,7,XBO,0
FALSE,2008 Lexus #25 Eclipse Advan SC430,,,2008,Lexus,#25 Eclipse Advan SC430,,,,,,,,SGT500,Livery,R2,857,,,,,,,475,357,2425,5.11,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,R,4,,,3.500,,,182.6,,,,,,11532,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2008 Lexus #36 Petronas Tom's SC430,,,2008,Lexus,#36 Petronas Tom's SC430,,,,,,,,SGT500,Livery,R2,828,,,,,,,499,,2425,4.86,,,,,,F,RWD,,,,,,,,Europe,England,,,2,R,4,,,,,,,,,,,,11533,,27-Oct-09,FM3,FM3,,,,,,,,,,FM3,,,1,360,0
FALSE,2008 Lexus #6 Eneos SC430,,,2008,Lexus,#6 Eneos SC430,,,,,,,,SGT500,Race,R2,857,,,,,,,475,357,2425,5.11,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,R,4,,,3.500,,,182.6,,,,,,11534,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2006 Lexus IS350,,,2006,Lexus,IS350,,,,,,,,Sedan,Factory,C,397,,,,,,,306,277,3527,11.53,,,,,6,F,RWD,,,,,,,,N. America,U.S.,,,4,L,4,,,6.000,,,165.9,,,,,,11294,,29-May-07,FM4,FM2,,,,,,,,,FM4,FM3,FM2,,3,360,0
FALSE,2003 Lexus Foose Design IS430 Project Car,,,2003,Lexus,Foose Design IS430 Project Car,,,,,,,,,Tuner,B,602,,,,,,,,,,#DIV/0!,,,,,,F,RWD,,,,,,,,N. America,U.S.,,,4,L,4,,,,,,,,,,,,11293,,29-May-07,FM2,FM2,,,,,,,,,,,FM2,,1,360,0
FALSE,2003 Lexus IS300,,,2003,Lexus,IS300,,,,,,,,Sedan,Factory,D,342,,,,,,,215,218,3307,15.38,,,,,6,F,RWD,,,,,,,,N. America,U.S.,,,4,L,4,,,7.100,,,157.4,,,,,,11103,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,2002 Lexus SC430,,,2002,Lexus,SC430,,,,,,,,Sports,Factory,C,373,,,,,,,282,309,3836,13.60,,,,,8,F,RWD,,,,,,,,N. America,U.S.,,,2,L,4,,,5.900,,,164.6,,,,,,11104,,03-May-05,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360,0
FALSE,1997 Lexus SC300,Lexus SC300,1351,1997,Lexus,SC300,"Autoshow, WS",,,,"25,000",Rare,,Retro Sports Cars,Factory,C,555,5.6,5.1,4.0,3.1,3.0,5.5,225,210,3560,15.82,53,2997,NA,Inline,6,F,RWD,,215,Both,Aftermarket,"415, 327, 805, 690","T, TT, CS",stock,N. America,U.S.,,,2,L,4,,"RPC, TC",7.418,19.419,,152.6,153.4,383.6,0.87,0.87,12.001,11719,05-Nov-21,13-Oct-11,FH5,FM4,FH5,,,FH3,FM6,,,,DLC,,,,4,XBO,1
FALSE,2017 Lincoln Continental,Continental '17,,2017,Lincoln,Continental,,,,,,,,Sport Luxury,Factory,C,437,7.0,4.1,7.0,3.2,4.0,,400,400,4547,11.37,56,,TT,V,6,F,AWD,,255,,,"415, 562",none,eng,N. America,U.S.,,,4,L,4,,,5.281,12.782,13.133,181.7,138.7,344.4,1.00,0.98,7.501,12880,,05-Mar-18,FM7,FM7,,,DLC,,,,,,,,,,1,XBO,0
FALSE,1962 Lincoln Continental,Continental '62,1586,1962,Lincoln,Continental,"Backstage, Seasonal",Series 27 cu,,,"250,000",Epic,,Rods and Customs,Factory,D,381,5.3,3.6,2.6,1.7,1.9,6.0,300,465,4929,16.43,55,7046,NA,V,8,F,RWD,225/75R14,225/75R14,Both,Forza,"415, 475d, 640, 800, 1500, 1750","TT, PDS",stock,N. America,U.S.,,,4,L,4,,,11.200,25.700,,141.6,185.4,458.5,0.73,0.72,1.985,11930,30-Nov-23,07-Aug-12,FH5,FM4,cu,,,,,,,,DLC,,,,2,XBO,1
FALSE,2014 Local Motors Rally Fighter,Rally Fighter,2146,2014,Local Motors,Rally Fighter,"Autoshow, WS",,,,"100,000",Rare,,Unlimited Offroad,Factory,A,716,6.0,3.8,4.5,3.6,4.0,10.0,430,424,3800,8.84,50,6162,NA,V,8,F,RWD,,285,no,Rally lights / roof,"415, 475d, 640, 700V, 800, 850","TT, PDS",stock,N. America,U.S.,,,2,L,4,,"DVG, OR",5.464,14.853,13.917,163.1,149.3,371.6,0.90,0.89,9.389,12170,05-Nov-21,30-Sep-14,FH5,FH2,FH5,FH4,FM7,FH3,FM6,FH2,,,,,,,6,XBO,1
FALSE,2014 Local Motors Rally Fighter F&F Edition,Fally Fighter FF,,2014,Local Motors,Rally Fighter F&F Edition,,,,,,,,Fast & Furious,Tuner,B,502,6.7,4.0,8.2,,4.0,,630,577,3885,6.17,50,,PDS,V,8,F,RWD,,,,,"650, 825, ",TT,eng,N. America,U.S.,,,2,L,4,,,4.820,9.619,12.167,175.9,121.0,311.7,1.01,0.94,4.799,12809,,29-Sep-17,FM7,FM7,,,DLC,,,,,,,,,,1,XBO,0
FALSE,1969 Lola #10 Simoniz Special T163,#10 Lola T163,,1969,Lola,#10 Simoniz Special T163,,,,,,,,Prototype Group Racing,Race,R,855,7.1,6.9,9.5,,6.7,,615,560,1422,2.31,40,,NA,V,8,M,RWD,,345,,,none,none,stock,Europe,U.K.,,Yes,2,R,4,,,3.300,6.000,9.717,192.6,88.5,214.3,1.41,1.61,2.700,12371,,15-Sep-15,FM7,FM6,,,FM7,,FM6,,,,,,,,2,XBO,0
FALSE,1969 Lola #6 Penske Sunoco T70 MkIIIB,#6 Lola T70,2423,1969,Lola,#6 Penske Sunoco T70 MkIIIB,"Autoshow, WS",,Accolade,,"850,000",Epic,,Classic Racers,Race,S1,818,7.1,5.7,7.0,7.7,4.8,4.2,460,395,1852,4.03,36,4995,NA,V,8,M,RWD,,380,no,Adjustable,"510, 602",none,stock,Europe,U.K.,,,2,R,4,,,3.000,6.700,10.133,192.7,116.6,287.6,1.09,1.09,3.700,12663,05-Nov-21,07-Feb-17,FH5,FH3,FH5,FH4,FM7,cu,,,,,,,,,4,XBO,1
FALSE,2023 Lotus Emira,Lotus Emira,3716,2023,Lotus,Emira,DLC Autoshow,FH5 Horizon Racing,Free w/DLC,,"95,000",Rare,,Modern Sports Cars,Factory,A,767,6.4,6.7,6.3,5.1,5.6,5.2,400,310,3097,7.74,45,3456,PDS,V,6,M,RWD,,,,Forza,"355, 510, 475(3L), 602, 360, 750, 850",TT,eng,Europe,U.K.,,,2,L,4,,,4.184,10.000,,178.5,110.4,269.8,1.11,1.19,5.816,13364,20-Jun-23,20-Jun-23,FH5,FH5,DLC,,,,,,,,,,,,1,XBO,1
FALSE,2020 Lotus Evija,Lotus Evija '20,3449,2020,Lotus,Evija,Autoshow,,Accolade,,"2,500,000",Legendary,,Hypercars,Factory,S2,994,7.6,7.9,7.6,8.5,10.0,3.9,1973,1253,3704,1.88,48,0,E,E,E,M,AWD,,325,Both,Forza,none,none,E,Europe,U.K.,,,2,L,4,,HR,2.700,4.519,,220.9,69.2,167.5,1.29,1.48,1.819,13238,05-Nov-21,05-Nov-21,FH5,FH5,FH5,,,,,,,,,,,,1,XBO,1
FALSE,2018 Lotus Exige Cup 430,Lotus Exige '18,3661,2018,Lotus,Exige Cup 430,Realms challenge,FH5 Realms,,,"250,000",Epic,,Track Toys,Factory,S1,833,6.7,7.3,7.7,8.5,6.9,4.9,430,324,2410,5.60,37,3456,PDS,,,M,RWD,,,,,"510, 475(3L), 602",TT,,Europe,U.K.,,,2,L,4,,,3.200,8.100,,188.3,93.3,224.8,1.25,1.43,4.900,,25-Apr-25,25-Apr-25,FH5,FH5,cu,,,,,,,,,,,,1,XBO,1
FALSE,2016 Lotus 3-Eleven,Lotus 3-Eleven,2541,2016,Lotus,3-Eleven,"Autoshow, WS",,,,"150,000",Epic,,Track Toys,Factory,S1,839,6.5,7.7,7.5,7.8,7.1,4.6,410,308,2103,5.13,36,3456,PDS,Inline,6,M,RWD,,265,no,Forza,"510, 475(3L), 602",none,no,Europe,U.K.,,Yes,2,L,4,,"OT, ?SS",3.300,7.000,11.033,182.0,97.7,233.3,1.17,1.35,3.700,12687,05-Nov-21,06-Jun-17,FH5,FH3,FH5,FH4,FM7,DLC,,,,,,,,,4,XBO,1
FALSE,2015 Lotus E23,Lotus E23,,2015,Lotus,E23,,,,,,,,Modern Grand Prix,Race,,,8.1,9.8,9.6,,9.8,,932,508,1548,1.66,46,,T,V,6,M,RWD,,,,,,,no,Europe,U.K.,,Yes,1,C,4,,,2.460,4.020,,216.7,75.8,167.6,1.85,2.95,1.560,12373,,15-Sep-15,FM6,FM6,,,,,FM6,,,,,,,,1,XBO,0
FALSE,2013 Lotus E21,,,2013,Lotus,E21,,,,,,,,Modern GP,Race,X,999,7.5,10.0,10.0,9.1,10.0,,750,221,1422,1.90,46,2400,NA,V,8,M,RWD,,,,,,,stock,Europe,U.K.,,Yes,1,C,4,,,2.800,4.500,,200.2,66.0,141.9,2.00,3.53,1.700,12074,,22-Nov-13,FM5,FM5,,,,,,,FM5,,,,,,1,XBO,0
FALSE,2012 Lotus Exige S,Lotus Exige S,1601,2012,Lotus,Exige S,"Autoshow, WS",,Accolade,,"85,000",Rare,,Modern Sports Cars,Factory,A,754,6.4,6.3,6.5,6.2,5.4,4.8,345,295,2593,7.52,41,3456,PDS,V,6,M,RWD,,265,Both,Rally lights,"510, 475(3L), 602",T,eng,Europe,U.K.,,Yes,2,L,4,,BRG,4.000,9.600,12.033,176.8,120.1,292.8,1.01,1.10,5.600,11999,05-Nov-21,01-Jan-13,FH5,FH1,FH5,FH4,FM7,FH3,FM6,FH2,FM5,DLC,,,,,8,XBO,1
FALSE,2009 Lotus 2-Eleven,Lotus 2-Eleven,1187,2009,Lotus,2-Eleven,"Backstage, Seasonal",Series 28 cu,,,"250,000",Epic,,Track Toys,Factory,A,799,5.9,6.8,6.9,6.8,6.6,5.2,252,179,1642,6.52,38,1796,PDS,Inline,4,M,RWD,195/50R16,225/45R17,no,Adjustable,"321, 300, 475(3L)",none,eng,Europe,U.K.,,Yes,2,L,4,,SS,3.800,8.900,,164.1,109.0,258.1,1.18,1.41,5.100,11605,07-Dec-23,12-Jan-10,FH5,FM3,cu,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,DLC,,,10,XBO,1
FALSE,2011 Lotus Evora S,Lotus Evora S,,2011,Lotus,Evora S,,,,,"43,000",Rare,,Modern Sports Cars,Factory,A,748,7.1,6.6,7.2,8.8,6.6,,346,295,3168,9.16,39,3456,PDS,V,6,M,RWD,,275,no,Forza,"510, 602",T,eng,Europe,U.K.,,,2,R,4,,,4.300,10.400,12.433,180.5,149.3,363.6,0.92,0.98,6.100,11979,,23-Oct-12,FH4,FH1,,FH4,FM7,FH3,FM6,DLC,,FH1,,,,,6,XBO,0
FALSE,2002 Lotus Esprit V8,Lotus Esprit,335,2002,Lotus,Esprit V8,Seasonal,Series 31 cu,,,"250,000",Rare,,Retro Supercars,Factory,A,731,6.8,5.5,6.0,3.5,4.8,5.5,350,295,2851,8.15,43,3506,TT,V,8,M,RWD,235/40R17,285/35R18,Both,Forza,602,none,eng,Europe,U.K.,,,2,R,4,,,4.800,10.500,,186.0,121.4,298.4,1.09,1.15,5.700,11108,14-Mar-24,03-May-05,FH5,FM1,cu,FH4,FM7,FH3,FM6,DLC,DLC,,FM4,FM3,FM2,FM1,11,XBO,1
FALSE,2009 Lotus Evora,,,2009,Lotus,Evora,,,,,,,,Sports,Factory,B,493,,,,,,,276,252,2976,10.78,,,,,6,M,RWD,,,,,,,,Europe,U.K.,,,2,L,4,,,4.900,,,169.8,,,,,,11536,,27-Oct-09,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360,0
FALSE,2009 Lotus Evora Type 124 Endurance Racecar,,,2009,Lotus,Evora Type 124 Endurance Racecar,,,,,,,,Super,Race,S,694,,,,,,,400,302,2756,6.89,40,3500,,V,6,M,RWD,,305,,,,,,Europe,U.K.,,,2,L,4,,,4.000,8.717,,184.8,,,,,4.717,11643,,08-Jun-10,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360,0
FALSE,2006 Lotus Exige Cup 240,,,2006,Lotus,Exige Cup 240,,,,,,,,Superlight,Factory,A,528,,,,,,,243,174,2050,8.44,,,,,4,M,RWD,,,,,,,,Europe,U.K.,,,2,R,4,,,,,,,,,,,,11296,,29-May-07,FH1,FM2,,,,,,,,FH1,FM4,FM3,FM2,,4,360,0
FALSE,2005 Lotus Elise,,,2005,Lotus,Elise,,,,,,,,,Factory,C2,,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,U.K.,,,2,R,4,,,,,,,,,,,.000,11106,,03-May-05,FM1,FM1,,,,,,,,,,,,FM1,1,360,0
FALSE,2005 Lotus Elise 111S,Lotus Elise '05,,2005,Lotus,Elise 111S,Exclusive,,,,"45,000",Rare,,Retro Sports Cars,Factory,B,650,5.7,7.0,6.3,7.8,7.0,,156,129,1777,11.39,39,1796,NA,Inline,4,M,RWD,,225,no,Forza,"321, 300, 475","T, PDS",stock,Europe,U.K.,,,2,R,4,,SS,5.000,14.500,14.200,134.1,151.1,358.8,0.94,1.03,9.500,11107,,03-May-05,FH4,FM1,,FH4,FM7,FH3,FM6,,,,FM4,FM3,FM2,FM1,8,XBO,0
FALSE,2005 Lotus Exige,,,2005,Lotus,Exige,,,,,,,,,Factory,B,571,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,U.K.,,,2,L,4,,,,,,,,,,,.000,11109,,03-May-05,FM2,FM1,,,,,,,,,,,FM2,FM1,2,360,0
FALSE,2005 Lotus Exige Espionage,,,2005,Lotus,Exige Espionage,,,,,,,,,Tuner,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,Europe,U.K.,,,2,R,4,,,,,,,,,,,,11297,,29-May-07,FM2,FM2,,,,,,,,,,,Uni,,1,360,0
FALSE,2003 Lotus Elise 135R,,,2003,Lotus,Elise 135R,,,,,,,,,Factory,C,491,,,,,,,,,,#DIV/0!,,,,,,M,RWD,,,,,,,,Europe,U.K.,,,2,R,4,,,,,,,,,,,,11295,,29-May-07,FM2,FM2,,,,,,,,,,,FM2,,1,360,0
FALSE,2000 Lotus 340R,Lotus 340R,2405,2000,Lotus,340R,Seasonal,Series 28 cu,,,"250,000",Rare,,Track Toys,Factory,B,700,4.7,7.0,5.5,4.8,6.8,5.1,177,126,1485,8.39,37,1796,NA,Inline,4,M,RWD,195/50R15,225/45R16,no,Forza,"321, 300","T, CS",stock,Europe,U.K.,,Yes,2,R,4,,"OR, SS",4.600,12.500,,131.7,117.7,270.8,1.07,1.26,7.900,12628,28-Dec-23,04-Oct-16,FH5,FH3,cu,FH4,FM7,DLC,,,,,,,,,4,XBO,1
FALSE,1999 Lotus Elise Series 1 Sport 190,Lotus Elise '99,1376,1999,Lotus,Elise Series 1 Sport 190,"Autoshow, WS",,,,"81,000",Common,,Retro Sports Cars,Factory,A,711,5.3,6.0,5.8,4.8,5.1,4.8,190,140,1477,7.77,39,1796,NA,Inline,4,M,RWD,,225,Both,Forza,"321, 300","T, CS",stock,Europe,U.K.,,Yes,2,L,4,,"OT, ?SS",4.282,10.682,12.367,148.6,119.5,290.3,1.13,1.22,6.400,11795,05-Nov-21,14-Oct-11,FH5,FM4,FH5,cu,FM7,,FM6,,DLC,,FM4,,,,6,XBO,1
