"","Year Make Model","Nickname","Ordinal","Votes","Topic","Tags","Link","Year","Make","Model","Special Access","DLC Pack","Car Type","Spec","Class","PI","Aspiration","Engine","Cylinders","Eng","Drive","Region","Country","Model Family","Open Top","Doors","Steering","Wheels","FH5 Debut","Forza Debut","New to Forza","FH5","FH4","FM7","FH3","FM6","FH2","FM5","FH1","FM4","FM3","FM2","FM1","# Titles",""
"FALSE","","Ghibli '14","","","","","","2014","Maserati","Ghibli S Q4","Exclusive","","Super Saloons","Factory","A","737","TT","V","6","F","AWD","Europe","Italy","","","4","L","4","","15-Sep-15","FM6","","cu","FM7","FH3","FM6","","","","","","","","4",""
"FALSE","","#18 Mazda 787B","","","","","","1991","Mazda","#18 787B","","","Early Prototype Racers","Livery","P","979","NA","Rotary","","M","RWD","Asia","Japan","","","2","R","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","#60 McLaren 12C","","","","","","2014","McLaren","#60 Bhaitech 12C GT3","","","Forza GT","Race","R","813","TT","V","8","M","RWD","Europe","U.K.","","","2","L","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","#98 12C GT3","","","","","","2014","McLaren","#98 ART Grand Prix 12C GT3","","","Modern GT Racing","Livery","","","TT","V","8","M","RWD","Europe","U.K.","","","2","L","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#4 McLaren M8B","","","","","","1969","McLaren","#4 McLaren Cars M8B","","","Prototype Group Racing","Race","R","854","NA","V","8","M","RWD","Europe","U.K.","","Yes","2","R","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","McLaren M2B","","","","","","1966","McLaren","M2B","","","Open Wheel Legends","Race","S","748","NA","V","8","M","RWD","Europe","U.K.","","Yes","1","C","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","#4 M-B E63 AMG","","","","","","2015","Mercedes-Benz","#4 Erebus Motorsport E63 AMG V8 Supercar","","","V8 Supercars","Race","","","NA","V","8","F","RWD","Europe","Germany","","","4","R","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#9 M-B E63 AMG","","","","","","2015","Mercedes-Benz","#9 Erebus Motorsport E63 AMG V8 Supercar","","","Supercars Championship","Livery","S","785","NA","V","8","F","RWD","Europe","Germany","","","4","R","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","#33 A-Class","","","","","","2014","Mercedes-Benz","#33 WIX Racing A-Class","","","Global Touring Cars","Race","","","T","Inline","4","F","FWD","Europe","Germany","","","5","L","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#84 M-B SLS GT3","","","","","","2014","Mercedes-Benz","#84 HTP Motorsport SLS AMG GT3","","","Forza GT","Race","R","808","NA","V","8","F","RWD","Europe","Germany","AMG","","2","L","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","#23 Altima","","","","","","2015","Nissan","#23 Nissan Motorsport Altima","","","Supercars Championship","Race","","","NA","V","8","F","RWD","Asia","Japan","","","4","R","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#21 Nissan R382","","","","","","1969","Nissan","#21 Nissan Racing R382","","","Prototype Group Racing","Race","R","836","NA","V","12","M","RWD","Asia","Japan","","Yes","2","R","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","Silvia '66","","","","","","1966","Nissan","Silvia","","","Vintage Sport Compact","Factory","E","228","NA","Inline","4","F","RWD","Asia","Japan","Silvia","","2","R","4","","15-Sep-15","FM6","","","FM7","FH3","Uni","","","","","","","","3",""
"FALSE","","Tesla Model S","","","","","","2015","Tesla","Model S P85D","","","Executive Heavyweights","Factory","","","NA","E","","M","AWD","N. America","U.S.","","","","L","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#11 Avensis","","","","","","2014","Toyota","#11 Handy Motorsport Avensis","","","Global Touring Cars","Race","","","T","Inline","4","F","FWD","Asia","Japan","","","4","R","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#20 Avensis","","","","","","2014","Toyota","#20 United Autosports Avensis","","","Global Touring Cars","Livery","","","T","Inline","4","F","FWD","Asia","Japan","","","4","R","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#80 Avensis","","","","","","2014","Toyota","#80 Speedworks Motorsport Avensis","","","Global Touring Cars","Livery","","","T","Inline","4","F","FWD","Asia","Japan","","","4","R","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#33 S60 V8","","","","","","2015","Volvo","#33 Wilson Security Racing GRM S60","","","V8 Supercars","Race","","","NA","V","8","F","RWD","Europe","Sweden","","","4","R","4","","15-Sep-15","FM6","","","","","FM6","","","","","","","","1",""
"FALSE","","#1 Volvo S60","","","","","","2014","Volvo","#1 Volvo Polestar Racing S60 STCC","","","Forza Touring Cars","Race","S","751","NA","V","6","M","RWD","Europe","Sweden","","","4","L","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","#13 Volvo S60","","","","","","2014","Volvo","#13 Volvo Polestar Racing S60 STCC","","","Forza Touring Cars","Livery","S","751","NA","V","6","M","RWD","Europe","Sweden","","","4","L","4","","15-Sep-15","FM6","","","FM7","","FM6","","","","","","","","2",""
"FALSE","","","","","","","","2015","Audi","Team Forza TTS Coupe","DLC promo","","Ultimate SpoCom","Livery","","","T","Inline","4","F","AWD","Europe","Germany","","","2","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","","","","","","","2014","BMW","Team Forza M4 Coupe","DLC promo","","Ultimate Sport Machines","Livery","","","TT","Inline","6","F","RWD","Europe","Germany","","","2","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","Challenger BT","","","","","","2015","Dodge","Challenger SRT Hellcat Battletoads Edition","DLC promo","","Ultimate Sport Machines","Livery","","","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","Challenger TF","","","","","","2015","Dodge","Team Forza Challenger SRT Hellcat","DLC promo","","Ultimate Sport Machines","Livery","","","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","","","","","","","2015","Ford","Team Forza Mustang GT","DLC promo","","Ultimate Sport Machines","Livery","","","PDS","V","8","F","RWD","N. America","U.S.","","","2","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","Mazda MX-5 TF","","","","","","2016","Mazda","Team Forza MX-5","DLC promo","","Compact Sport Coupe","Livery","","","NA","Inline","4","F","RWD","Asia","Japan","Miata","Yes","2","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","","","","","","","2015","Subaru","Team Forza WRX STI","DLC promo","","BOTH Rally Day Heroes and Ultimate SpoCom","Livery","","","T","Flat","4","F","AWD","Asia","Japan","","","4","L","4","","10-Sep-15","FM6","","","","","DLC","","","","","","","","1",""
"FALSE","","Fiat 8V","","","","","","1952","FIAT","8V Supersonic","","","Vintage Sport Coupe","Factory","E","245","NA","V","8","F","RWD","Europe","Italy","","","2","L","4","","04-Aug-15","FH2","","","FM7","FH3","FM6","DLC","","","","","","","4",""
"FALSE","","Volvo S60 PS","","","","","","2015","Volvo","S60 Polestar","","","Sport Luxury","Factory","B","527","T","Inline","6","F","AWD","Europe","Sweden","","","4","L","4","","04-Aug-15","FH2","","","FM7","FH3","FM6","DLC","","","","","","","4",""
"FALSE","","Vantage S '13","","","","","","2013","Aston Martin","V12 Vantage S","Autoshow, WS","","Super GT","Factory","A","796","NA","V","12","F","RWD","Europe","U.K.","","","2","L","4","05-Nov-21","07-Jul-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Audi S1","","","","","","2015","Audi","S1","Autoshow, WS","","Hot Hatch","Factory","B","644","T","Inline","4","F","AWD","Europe","Germany","","","3","L","4","05-Nov-21","07-Jul-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Nissan Juke","","","","","","2014","Nissan","Juke Nismo RS","","","Modern SUV","Factory","D","370","T","Inline","4","F","FWD","Asia","Japan","","","5","L","4","","07-Jul-15","FH2","","","FM7","","FM6","DLC","","","","","","","3",""
"FALSE","","1963 Corvette FF","","","","","","1963","Chevrolet","Corvette Grand Sport F&F Edition","","","[custom]","Tuner","","","NA","V","8","F","RWD","N. America","U.S.","Corvette","","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","1970 Charger FF","","","","","","1970","Dodge","Charger R/T F&F Edition","DLC promo","","Rods and Customs","Tuner","","","PDS","V","8","F","RWD","N. America","U.S.","Charger","","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","1969 Charger FF","","","","","","1969","Dodge","Charger Daytona F&F Edition","","","[custom]","Tuner","","","NA","V","8","F","RWD","N. America","U.S.","Charger","","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","1968 Charger FF","","","","","","1968","Dodge","Charger F&F Edition","","","[custom]","Tuner","","","NA","V","8","F","RWD","N. America","U.S.","Charger","","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","1970 Escort FF","","","","","","1970","Ford","Escort RS1600 F&F Edition","","","? none/Classic Compact","Tuner","","","NA","Inline","4","F","RWD","N. America","U.S.","","","2","R","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","2001 S2000 FF","","","","","","2001","Honda","S2000 F&F Edition","","","? none/Japanese Street","Tuner","","","CS","Inline","4","F","RWD","Asia","Japan","","Yes","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","1995 Eclipse FF","","","","","","1995","Mitsubishi","Eclipse GS F&F Edition","","","? none/Japanese Street","Tuner","","","T","Inline","4","F","FWD","Asia","Japan","Eclipse","","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","2002 Fairlady FF","","","","","","2002","Nissan","Fairlady Z F&F Edition","","","? none/Japanese Street","Tuner","","","TT","V","6","F","RWD","Asia","Japan","Fairlady","","2","R","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","1999 Skyline FF","","","","","","1999","Nissan","Skyline GT-R F&F Edition","","","? none/Modern Sport","Tuner","","","TT","Inline","6","F","AWD","Asia","Japan","Skyline","","2","R","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","Terradyne Gurkha","","","","","","2014","Terradyne","Gurkha LAPV","","","Offroad","Factory","D","223","T","V","8","F","AWD","N. America","Canada","","","5","L","4","","15-Jun-15","FH2","","FH4","","cu","DLC","DLC","","","","","","","4",""
"FALSE","","1995 Supra FF","","","","","","1995","Toyota","Supra RZ F&F Edition","","","? none/Modern Sport","Tuner","","","T","Inline","6","F","RWD","Asia","Japan","","","2","L","4","","15-Jun-15","FH2","","","","","DLC","DLC","","","","","","","2",""
"FALSE","","Porsche Cayman","","","","","","2015","Porsche","Cayman GTS","Autoshow, WS","","Modern Sports Cars","Factory","A","767","NA","Flat","6","M","RWD","Europe","Germany","","","2","L","4","05-Nov-21","06-Jun-15","FH2","FH5","FH4","","cu","DLC","DLC","","","","","","","5",""
"FALSE","","Porsche 918","","","","","","2014","Porsche","918 Spyder","Autoshow, WS","","Hypercars","Factory","S2","920","NA","V","8","M","AWD","Europe","Germany","","","2","L","4","05-Nov-21","06-Jun-15","FH2","FH5","FH4","FM7","cu","DLC","DLC","","","","","","","6",""
"FALSE","","911 Turbo '14","","","","","","2014","Porsche","911 Turbo S","Autoshow, WS","","Modern Supercars","Factory","S1","808","TT","Flat","6","R","AWD","Europe","Germany","911","","2","L","4","05-Nov-21","06-Jun-15","FH2","FH5","FH4","FM7","cu","DLC","DLC","","","","","","","6",""
"FALSE","","Porsche Macan","","","","","","2015","Porsche","Macan Turbo","","","Sports Utility Heroes","Factory","A","708","TT","V","6","F","AWD","Europe","Germany","","","5","L","4","","06-Jun-15","FH2","","FH4","FM7","cu","DLC","DLC","","","","","","","5",""
"FALSE","","Audi RS 4 '01","","","","","","2001","Audi","RS 4 Avant","Autoshow, WS","","Retro Saloons","Factory","B","663","TT","V","6","F","AWD","Europe","Germany","S4","","5","L","4","05-Nov-21","02-Jun-15","FH2","FH5","FH4","FM7","","FM6","DLC","","","","","","","5",""
"FALSE","","Chevy Camaro '15","","","","","","2015","Chevrolet","Camaro Z/28","Autoshow, WS","","Track Toys","Factory","A","797","NA","V","8","F","RWD","N. America","U.S.","Camaro","","2","L","4","05-Nov-21","02-Jun-15","FH2","FH5","FH4","","FH3","FM6","DLC","","","","","","","5",""
"FALSE","","Mazda Cosmo","","","","","","1972","Mazda","Cosmo 110S Series II","Exclusive","","Classic Sports Cars","Factory","D","363","NA","Rotary","","F","RWD","Asia","Japan","","","2","R","4","","02-Jun-15","FH2","","cu","FM7","FH3","FM6","DLC","","","","","","","5",""
"FALSE","","Audi TTS","","","","","","2015","Audi","TTS Coupe","Autoshow, WS","","Modern Sports Cars","Factory","A","724","T","Inline","4","F","AWD","Europe","Germany","TT","","2","L","4","05-Nov-21","05-May-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Corvette '15","","","","","","2015","Chevrolet","Corvette Z06","Autoshow, WS","","Modern Muscle","Factory","S1","852","PDS","V","8","F","RWD","N. America","U.S.","Corvette","","2","L","4","05-Nov-21","05-May-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Jeep Wagoneer","","","","","","1991","Jeep","Grand Wagoneer","","","Vintage Off-roaders","Factory","E","220","NA","V","8","F","AWD","N. America","U.S.","","","5","L","4","","05-May-15","FH2","","","FM7","FH3","FM6","DLC","","","","","","","4",""
"FALSE","","","","","","","","2014","Nissan","Juke Pringles Edition","DLC promo","","Hot Hatch","Livery","","","","","","F","FWD","Asia","Japan","","","5","L","4","","05-May-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","2015","Dodge","Challenger R/T F&F Edition","","","[custom]","Tuner","A","800","","","","F","RWD","N. America","U.S.","","","2","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","2015","Dodge","Charger R/T F&F Edition","","","[custom]","Tuner","A","800","","","","F","RWD","N. America","U.S.","","","4","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","2011","Ford","F-150 SVT Raptor Cheetos Edition","DLC promo","","Extreme Offroad","Livery","","","","","","","","N. America","U.S.","","","2","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","2013","Jeep","Wrangler Unlimited F&F Edition","","","Offroad","Tuner","A","800","","","","F","AWD","N. America","U.S.","","","5","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","2014","Maserati","Ghibli S F&F Edition","","","Super Saloons","Tuner","S1","900","","","","F","RWD","Europe","Italy","","","4","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","1970","Plymouth","Cuda F&F Edition","","","[custom]","Tuner","A","800","","","","F","RWD","N. America","U.S.","","","2","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","1970","Plymouth","Road Runner F&F Edition","","","[custom]","Tuner","A","800","","","","F","RWD","N. America","U.S.","","","2","L","4","","07-Apr-15","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","","","","","","","1998","Toyota","Supra F&F Edition","","","","Tuner","S1","900","","","","F","RWD","Asia","Japan","","","2","L","4","","07-Apr-15","FH2","","","","","","cu","","","","","","","1",""
"FALSE","","Mazda MX-5 '16","","","","","","2016","Mazda","MX-5","Autoshow, WS","","Modern Sports Cars","Factory","B","620","NA","Inline","4","F","RWD","Asia","Japan","Miata","Yes","2","L","4","05-Nov-21","17-Mar-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Mazda MX-5 '05","","","","","","2005","Mazda","Mazdaspeed MX-5","Autoshow, WS","","Retro Sports Cars","Factory","C","587","T","Inline","4","F","RWD","Asia","Japan","Miata","Yes","2","L","4","05-Nov-21","17-Mar-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Mazda MX-5 '10","","","","","","2010","Mazda","MX-5 Super20","","","Sport Compact","Factory","C","484","PDS","Inline","4","F","RWD","Asia","Japan","Miata","","2","L","4","","17-Mar-15","FH2","","","FM7","","","cu","","","","","","","2",""
"FALSE","","Mazda MX-5 '90","","","","","","1990","Mazda","MX-5 Miata","","","Sport Compact Icons","Factory","E","272","NA","Inline","4","F","RWD","Asia","Japan","Miata","","2","L","4","","17-Mar-15","FH2","","","FM7","","","cu","","","","","","","2",""
"FALSE","","Jaguar XFR-S","","","","","","2015","Jaguar","XFR-S","Autoshow, WS","","Super Saloons","Factory","A","728","PDS","V","8","F","RWD","Europe","U.K.","","","5","R","4","05-Nov-21","03-Mar-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Subaru WRX '15","","","","","","2015","SUBARU","WRX STI","Autoshow, WS","","Modern Rally","Factory","B","675","T","Flat","4","F","AWD","Asia","Japan","Impreza","","4","L","4","05-Nov-21","03-Mar-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","#1107 VW Bug","","","","","","1970","Volkswagen","#1107 Desert Dingo Racing Stock Bug","Autoshow, WS","","Buggies","Race","D","371","NA","Flat","4","R","RWD","Europe","Germany","","","2","L","4","05-Nov-21","03-Mar-15","FH2","FH5","FH4","FM7","","","DLC","","","","","","","4",""
"FALSE","","VW GRC Beetle","","","","","","2014","Volkswagen","Global Rallycross Beetle","Exclusive","","Rally Monsters","Race","S1","846","T","Inline","4","F","AWD","Europe","Germany","","","2","L","4","","03-Mar-15","FH2","","FH4","FM7","","","DLC","","","","","","","3",""
"FALSE","","Ferrari 458 S","","","","","","2013","Ferrari","458 Speciale","Backstage, WS, Seasonal","","Track Toys","Factory","S1","865","NA","V","8","M","RWD","Europe","Italy","Ferrari V8","","2","L","4","05-Nov-21","03-Feb-15","FH2","FH5","FH4","FM7","FH3","DLC","DLC","","","","","","","6",""
"FALSE","","Lambo LM 002","","","","","","1986","Lamborghini","LM 002","Autoshow, WS","","Pickups & 4x4s","Factory","C","562","NA","V","12","F","AWD","Europe","Italy","","","5","L","4","05-Nov-21","03-Feb-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Lexus RC F","","","","","","2015","Lexus","RC F","Autoshow, WS","","Super Saloons","Factory","A","741","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Nov-21","03-Feb-15","FH2","FH5","cu","","FH3","FM6","DLC","","","","","","","5",""
"FALSE","","BMW M235i '14","","","","","","2014","BMW","M235i","","","Super Saloons","Factory","B","700","T","Inline","6","F","RWD","Europe","Germany","","","2","L","4","","03-Feb-15","FH2","","","","FH3","FM6","DLC","","","","","","","3",""
"FALSE","","Ford Bronco","","","","","","1975","Ford","Bronco","Autoshow, WS","","Pickups & 4x4s","Factory","D","421","NA","V","8","F","AWD","N. America","U.S.","","","2","L","4","05-Nov-21","06-Jan-15","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Ferrari 500M","","","","","","1953","Ferrari","500 Mondial","","","Classic Racers","Race","C","544","NA","Inline","4","F","RWD","Europe","Italy","","Yes","2","R","4","","06-Jan-15","FH2","","FH4","FM7","FH3","FM6","DLC","","","","","","","5",""
"FALSE","","Nissan IDx NISMO","","","","","","2015","Nissan","IDx NISMO","","","Sport Compact","Factory","D","397","T","Inline","4","F","RWD","Asia","Japan","","","2","R","4","","06-Jan-15","FH2","","","FM7","","FM6","DLC","","","","","","","3",""
"FALSE","","Ford Ranger T6","","","","","","2014","Ford","Ranger T6 Rally Raid","Autoshow, WS","","Offroad","Race","B","643","NA","V","8","F","AWD","N. America","U.S.","","","2","L","4","05-Nov-21","16-Dec-14","FH2","FH5","FH4","FM7","FH3","","DLC","","","","","","","5",""
"FALSE","","Ford Fiesta '81","","","","","","1981","Ford","Fiesta XR2","WS, Seasonal","","Retro Hot Hatch","Factory","D","369","NA","Inline","4","F","FWD","N. America","U.S.","","","3","R","4","05-Nov-21","16-Dec-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Mini X-Raid","","","","","","2013","MINI","X-Raid ALL4 Racing Countryman","WS, Seasonal","","Offroad","Race","B","632","TT","Inline","6","F","AWD","Europe","U.K.","","","3","L","4","05-Nov-21","16-Dec-14","FH2","FH5","FH4","FM7","FH3","","DLC","","","","","","","5",""
"FALSE","","","","","","","","2013","Robby Gordon","#7 Speed Energy Drink Stadium Super Truck","","","Extreme Offroad","Race","S1","852","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","","16-Dec-14","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","Audi RS 6 '15","","","","","","2015","Audi","RS 6 Avant","Autoshow, WS","","Super Saloons","Factory","A","754","TT","V","8","F","AWD","Europe","Germany","","","2","L","4","05-Nov-21","02-Dec-14","FH2","FH5","FH4","FM7","","FM6","DLC","","","","","","","5",""
"FALSE","","Chevy MonteCarlo","","","","","","1988","Chevrolet","Monte Carlo Super Sport","Autoshow, WS","","Retro Muscle","Factory","D","396","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Nov-21","02-Dec-14","FH2","FH5","HTF","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","McLaren 650S","","","","","","2015","McLaren","650S Coupe","Autoshow, WS","","Modern Supercars","Factory","S1","859","TT","V","8","M","RWD","Europe","U.K.","","","2","L","4","05-Nov-21","02-Dec-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Range Rover '14","","","","","","2014","Land Rover","Range Rover Supercharged","","","Sports Utility Heroes","Factory","A","726","PDS","V","8","F","AWD","Europe","U.K.","","","5","L","4","","02-Dec-14","FH2","","","","FH3","FM6","DLC","","","","","","","3",""
"FALSE","","BMW M4 '14","","","","","","2014","BMW","M4 Coupe","Autoshow, WS","","Super Saloons","Factory","A","782","TT","Inline","6","F","RWD","Europe","Germany","","","2","L","4","05-Nov-21","04-Nov-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Chevy SuperSport","","","","","","2014","Chevrolet","Super Sport","","","Sport Touring","Factory","B","523","NA","V","8","F","RWD","N. America","U.S.","","","4","L","4","","04-Nov-14","FH2","","","FM7","FH3","FM6","DLC","","","","","","","4",""
"FALSE","","Lambo Jalpa","","","","","","1988","Lamborghini","Jalpa","","","Sport GT Icons","Factory","D","348","NA","V","8","M","RWD","Europe","Italy","","","2","L","4","","04-Nov-14","FH2","","","FM7","FH3","FM6","DLC","","","","","","","4",""
"FALSE","","Jaguar F-Type","","","","","","2015","Jaguar","F-TYPE R Coupe","WS, Seasonal","","GT Cars","Factory","A","777","PDS","V","8","F","RWD","Europe","U.K.","","","2","L","4","05-Nov-21","07-Oct-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Cherokee '14","","","","","","2014","Jeep","Grand Cherokee SRT","Autoshow, WS","","Sports Utility Heroes","Factory","B","680","NA","V","8","F","AWD","N. America","U.S.","","","5","L","4","05-Nov-21","07-Oct-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Renault Clio '13","","","","","","2013","Renault","Clio R.S. 200 EDC","Autoshow, WS","","Hot Hatch","Factory","C","595","T","Inline","4","F","FWD","Europe","France","","","5","L","4","05-Nov-21","07-Oct-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","","","","","","","2010","Nissan","G-Shock 370Z","DLC promo","","Sports Cars","Livery","A","712","","","","","","Asia","Japan","","","2","L","4","","07-Oct-14","FH2","","","","","","DLC","","","","","","","1",""
"FALSE","","VW Scirocco '88","","","","","","1988","Volkswagen","Scirocco 16v","","","Hot Hatch Genesis","Factory","E","265","NA","Inline","4","F","FWD","Europe","Germany","","","3","L","4","","07-Oct-14","FH2","","","FM7","","FM6","DLC","","","","","","","3",""
"FALSE","","Renault A110","","","","","","1973","Alpine","A110 1600s","Autoshow","","Classic Rally","Factory","C","550","NA","Inline","4","R","RWD","Europe","France","","","2","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","","Ford Focus '03","","","","","","2003","Ford","Focus RS","Autoshow, WS","","Hot Hatch","Factory","C","593","T","Inline","4","F","FWD","N. America","U.S.","Focus","","3","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Ford Capri MKI","","","","","","1973","Ford","Capri RS3100","Autoshow, WS","","Classic Sports Cars","Factory","D","497","NA","V","6","F","RWD","N. America","U.S.","","","2","R","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","","Lambo Huracan","","","","","","2014","Lamborghini","Huracán LP 610-4","Autoshow, WS","","Modern Supercars","Factory","S1","838","NA","V","10","M","AWD","Europe","Italy","","","2","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","","LR Defender","","","","","","1997","Land Rover","Defender 90","Autoshow, WS","","Pickups & 4x4s","Factory","D","366","NA","V","8","F","AWD","Europe","U.K.","","","5","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","Rally Fighter","","","","","","2014","Local Motors","Rally Fighter","Autoshow, WS","","Unlimited Offroad","Factory","A","716","NA","V","8","F","RWD","N. America","U.S.","","","2","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","","Renault Clio '93","","","","","","1993","Renault","Clio Williams","Autoshow, WS","","Retro Hot Hatch","Factory","C","511","NA","Inline","4","F","FWD","Europe","France","","","3","R","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","DLC","","","","","","","6",""
"FALSE","","VW Type 2","","","","","","1963","Volkswagen","Type 2 De Luxe","Autoshow","","Cult Cars","Factory","D","100","NA","Flat","4","R","RWD","Europe","Germany","","","","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","","FM6","FH2","","","","","","","5",""
"FALSE","","Willys Jeep","","","","","","1945","Willys","MB Jeep","Autoshow, WS","","Pickups & 4x4s","Factory","D","198","NA","Inline","4","F","AWD","N. America","U.S.","","Yes","2","L","4","05-Nov-21","30-Sep-14","FH2","FH5","FH4","FM7","FH3","FM6","FH2","","","","","","","6",""
"FALSE","","","","","","","","2008","Aston Martin","Team Forza DBS","DLC promo","","Exotic GT","Upgraded","","","NA","V","12","F","RWD","Europe","U.K.","","","2","L","4","","30-Sep-14","FH2","","","","","DLC","DLC","","","","","","","2",""
